TicketDate,Hr,TicketCount
2014-08-24,12,328
2015-02-14,10,120
2013-12-06,15,359
2014-07-06,16,444
2014-04-26,22,155
2015-09-29,23,2
2014-06-29,19,311
2014-09-03,13,483
2014-10-27,9,3
2014-05-23,9,3
2014-03-11,18,322
2014-11-06,10,84
2015-08-14,19,322
2015-11-25,23,10
2015-05-09,17,454
2014-08-21,20,342
2014-10-14,16,363
2014-12-12,13,499
2014-07-08,13,439
2014-08-31,9,1
2015-03-29,10,122
2015-08-17,17,380
2015-07-11,13,382
2015-08-17,23,4
2015-04-08,11,185
2015-08-24,20,330
2014-08-11,19,375
2015-07-01,18,378
2015-08-07,22,196
2014-12-09,15,232
2014-04-23,18,407
2015-10-19,13,403
2014-12-19,10,146
2014-08-21,14,473
2014-05-16,12,476
2015-12-02,20,188
2015-04-29,22,119
2014-10-07,19,334
2015-08-27,18,380
2014-01-03,23,1
2014-05-03,19,340
2014-08-31,15,546
2014-10-06,21,182
2014-03-31,11,152
2015-09-03,12,373
2015-10-27,8,24
2015-11-06,9,37
2015-08-27,15,351
2015-10-20,11,169
2014-04-07,8,2
2015-01-14,21,135
2015-10-19,16,333
2014-06-11,23,6
2015-07-12,11,172
2014-10-27,12,428
2014-12-20,8,1
2014-07-16,8,1
2014-08-24,21,211
2014-10-17,11,263
2014-07-06,13,419
2014-11-03,9,1
2015-10-09,21,225
2014-12-12,16,391
2014-10-24,14,477
2014-10-24,8,1
2014-08-14,20,298
2014-03-10,20,232
2014-03-11,15,378
2014-12-02,21,126
2015-02-11,9,6
2015-10-30,12,374
2014-07-09,11,219
2015-10-12,19,294
2014-07-16,14,445
2014-10-16,16,404
2015-03-22,16,455
2014-06-18,20,318
2013-12-01,15,465
2015-10-27,14,360
2015-02-03,17,222
2014-11-24,23,7
2014-05-24,13,515
2014-01-24,11,164
2014-02-10,9,1
2015-01-17,19,304
2014-08-13,19,364
2014-01-31,8,1
2015-05-07,20,298
2014-12-01,20,168
2014-01-11,21,196
2014-05-31,10,118
2013-12-08,12,347
2015-07-09,13,460
2014-11-14,22,121
2014-05-14,12,403
2015-01-24,16,410
2015-05-14,17,324
2015-06-06,8,1
2014-11-08,18,402
2014-05-08,8,2
2014-02-26,14,314
2015-04-20,11,112
2015-04-14,18,357
2015-04-07,21,149
2015-08-25,10,80
2014-11-01,21,207
2014-05-01,11,185
2013-12-19,19,346
2015-01-04,18,266
2015-01-10,11,210
2015-06-16,11,192
2014-04-24,14,386
2015-04-13,14,396
2015-02-09,21,106
2014-09-05,21,288
2014-12-21,18,379
2014-02-20,12,328
2014-01-14,8,1
2014-04-11,18,390
2014-01-07,11,95
2014-02-13,15,170
2015-10-07,10,105
2015-06-09,14,403
2014-06-13,11,184
2015-02-16,18,276
2014-10-19,22,76
2014-09-12,18,428
2014-04-24,8,1
2014-03-05,11,141
2014-04-11,15,422
2014-12-28,21,186
2014-08-09,11,295
2015-08-05,14,378
2015-04-27,17,338
2014-01-01,18,265
2015-03-01,14,370
2015-02-08,23,2
2014-02-20,15,324
2015-03-08,14,505
2014-04-04,18,354
2015-07-15,23,4
2015-04-20,17,345
2015-02-15,20,160
2014-02-27,12,312
2015-07-22,20,292
2014-03-28,21,249
2015-01-11,9,1
2015-09-10,23,6
2015-02-22,17,453
2014-03-06,9,2
2014-04-18,15,513
2015-04-06,23,3
2015-07-29,17,394
2014-01-30,21,130
2014-12-28,15,487
2014-01-01,12,163
2015-05-26,20,286
2015-06-02,17,321
2014-01-08,15,250
2014-01-08,9,1
2014-09-26,12,509
2015-02-02,21,81
2015-06-30,8,1
2015-03-02,12,289
2015-06-02,23,3
2015-02-23,15,241
2014-09-19,15,452
2014-02-13,21,96
2015-06-23,11,183
2015-06-09,20,285
2014-01-15,12,294
2014-02-06,18,268
2015-01-04,12,298
2015-04-06,17,380
2015-05-04,8,1
2015-04-21,15,401
2015-04-13,20,249
2014-11-15,15,516
2014-04-17,17,380
2015-08-11,16,307
2013-12-18,21,145
2015-11-12,19,314
2014-01-02,13,395
2014-05-23,20,308
2015-01-18,12,225
2014-09-20,10,117
2015-06-08,19,361
2015-10-06,9,4
2015-06-15,16,311
2014-09-13,13,492
2014-07-26,17,441
2015-09-09,22,130
2015-11-19,16,313
2014-05-16,23,15
2014-01-09,10,63
2015-04-05,22,101
2015-01-11,15,428
2014-02-19,17,287
2014-11-22,12,354
2014-06-12,10,93
2015-08-04,19,381
2014-03-27,20,241
2015-09-22,15,375
2015-04-28,12,447
2014-11-16,10,100
2013-12-24,17,404
2015-06-01,22,96
2015-01-25,9,3
2014-05-30,17,448
2014-07-12,23,13
2014-02-05,23,1
2015-09-23,16,364
2015-11-05,22,147
2015-11-18,15,313
2015-07-21,19,336
2014-04-10,20,260
2014-08-08,16,434
2014-04-03,17,343
2015-01-05,13,343
2014-04-03,23,6
2015-11-25,12,429
2015-07-28,16,359
2015-07-28,22,149
2014-11-29,9,7
2014-08-01,19,332
2014-08-01,13,580
2014-06-12,16,373
2014-07-19,20,348
2014-11-16,16,454
2015-09-16,19,350
2014-02-12,20,201
2015-05-19,23,5
2015-09-29,12,281
2014-11-09,13,491
2014-05-30,23,25
2015-03-09,9,1
2015-11-05,16,325
2014-10-03,9,1
2015-03-20,12,408
2014-09-26,21,262
2014-03-04,13,345
2015-08-24,12,303
2015-06-14,18,419
2014-04-22,21,147
2014-03-11,10,49
2015-03-13,15,424
2015-08-17,15,356
2014-04-29,18,300
2015-06-07,21,178
2015-05-23,9,4
2014-02-18,19,261
2015-08-10,18,393
2014-07-31,21,275
2014-02-24,21,103
2015-03-06,18,372
2015-06-28,12,239
2013-12-01,10,72
2014-05-07,10,88
2015-08-31,9,8
2014-06-25,18,366
2014-05-13,12,504
2015-05-09,15,518
2015-03-27,9,4
2014-06-26,13,421
2014-01-20,13,405
2014-05-20,9,2
2015-04-25,21,228
2014-02-11,22,40
2015-03-07,13,414
2015-09-29,21,157
2014-06-11,18,386
2015-07-05,9,3
2015-07-05,15,357
2015-05-16,12,351
2014-03-24,9,1
2014-08-28,9,5
2014-04-30,13,355
2014-06-18,21,256
2015-10-13,9,5
2015-08-03,21,205
2014-03-03,18,303
2015-12-01,17,297
2015-02-27,21,168
2014-08-07,18,476
2015-05-09,9,4
2014-04-09,22,110
2015-07-06,10,92
2015-01-30,10,55
2014-11-14,23,5
2014-01-14,11,101
2015-08-02,20,251
2014-11-21,20,230
2015-10-05,17,350
2015-06-29,13,436
2014-07-24,18,364
2015-01-23,13,418
2014-03-18,13,400
2015-03-28,10,120
2014-11-28,17,325
2015-11-10,20,191
2014-01-07,14,228
2014-11-21,11,232
2015-08-09,17,447
2015-05-03,13,479
2014-09-25,20,251
2015-03-01,20,100
2015-09-21,23,3
2014-10-02,17,371
2015-11-24,20,245
2015-11-30,13,303
2014-06-04,21,190
2015-03-08,17,437
2015-03-14,10,90
2014-01-20,7,1
2015-11-17,17,291
2015-11-17,23,2
2014-01-27,10,62
2015-09-28,20,282
2014-08-06,17,329
2014-12-04,10,81
2015-01-10,17,357
2015-01-10,14,434
2015-05-10,10,142
2014-03-25,10,66
2015-03-21,13,438
2015-02-14,16,553
2014-05-12,21,266
2014-01-13,12,265
2015-08-06,21,225
2015-04-09,12,363
2014-01-23,13,300
2014-03-18,9,3
2015-06-12,9,4
2014-10-27,15,402
2015-04-19,13,499
2014-12-20,11,318
2015-05-26,9,3
2014-02-28,16,340
2014-01-05,20,120
2015-04-01,20,250
2015-05-25,16,429
2014-03-01,9,4
2013-12-27,12,345
2014-05-03,13,469
2015-03-23,12,287
2015-05-16,8,2
2015-07-28,13,431
2014-09-11,11,221
2015-06-04,17,360
2014-03-10,17,317
2015-03-13,11,239
2014-02-09,13,379
2013-12-17,11,153
2015-05-06,13,421
2015-03-22,19,257
2013-12-26,19,237
2014-02-11,16,253
2015-01-08,20,169
2015-05-15,21,258
2015-09-12,17,436
2014-02-18,21,98
2014-06-18,17,350
2015-04-28,21,210
2014-12-30,12,404
2014-02-28,22,103
2014-06-01,17,460
2014-12-03,11,199
2014-02-01,21,178
2015-08-16,16,434
2015-04-18,20,325
2014-12-12,19,268
2014-05-22,16,398
2014-01-22,20,146
2014-01-24,23,5
2015-06-13,19,368
2014-12-11,9,10
2014-03-19,19,235
2015-11-24,16,412
2015-08-15,23,8
2014-10-08,12,379
2015-10-01,20,207
2015-02-12,13,425
2014-07-07,20,278
2015-01-26,13,395
2013-12-09,19,272
2015-03-21,9,7
2014-02-10,23,1
2015-05-07,23,8
2015-01-16,12,363
2015-07-10,20,297
2014-07-17,12,465
2014-04-15,20,189
2015-10-11,12,330
2014-08-13,16,370
2015-11-07,16,496
2014-11-14,8,2
2014-04-25,21,210
2014-07-27,13,457
2014-11-21,16,380
2015-09-21,19,288
2014-03-29,20,239
2015-10-28,21,122
2015-03-04,9,6
2014-08-03,21,233
2014-11-04,13,442
2013-12-08,9,4
2014-07-17,15,395
2014-09-09,11,156
2015-10-11,15,478
2014-12-10,22,97
2014-06-20,17,383
2015-09-04,16,457
2015-11-16,21,192
2014-06-10,16,357
2014-12-28,12,321
2014-08-22,21,242
2014-10-08,18,393
2015-10-01,14,387
2014-07-07,14,401
2014-09-01,22,112
2014-10-25,18,432
2014-06-01,11,239
2014-08-05,21,214
2014-09-28,17,412
2015-08-26,11,134
2015-08-16,10,103
2015-06-23,14,365
2015-10-28,15,285
2014-07-26,20,331
2014-03-29,14,464
2015-10-20,20,269
2015-07-10,14,457
2014-05-24,16,483
2014-08-13,10,63
2015-11-07,10,114
2014-08-23,11,211
2015-11-17,11,175
2015-04-26,18,376
2014-04-25,15,434
2015-07-20,15,341
2014-09-01,16,490
2015-07-30,10,83
2014-05-05,10,81
2014-05-14,21,233
2014-09-18,22,172
2014-09-19,12,428
2015-01-16,18,332
2014-01-15,15,276
2014-03-20,12,490
2014-10-17,20,299
2014-01-13,18,270
2014-12-10,16,270
2014-12-20,17,480
2015-11-15,8,4
2015-09-22,12,307
2015-04-28,15,381
